school_name,classification,detail_url,extraction_timestamp,status,teaching_directorate,neighborhood,municipality,phone,email,ideb_score_final_years,idesp_score_final_years,ideb_score_high_school,idesp_score_high_school,total_students,age_06_10_final_years,age_11_14_final_years,age_15_17_final_years,age_18_plus_final_years,age_06_10_high_school,age_11_14_high_school,age_15_17_high_school,age_18_plus_high_school,total_classes,classes_final_years,classes_high_school,total_classrooms,error_message
ABEL AUGUSTO FRAGATA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=33820,2025-07-30T11:32:09.952725,SUCCESS,MARILIA,SENADOR SALGADO FILHO,MARILIA,(14) 34226525,E033820A@EDUCACAO.SP.GOV.BR,,,,,259,,,,,,,,,10,,,10,
ABEL DOS REIS,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=24399,2025-07-30T11:32:09.952725,SUCCESS,RIBEIRAO PRETO,CENTRO,CASSIA DOS COQUEIROS,(16) 36691508,E024399A@EDUCACAO.SP.GOV.BR,,,5.50,2.58,89,,,,,,2,78,9,5,,5,5,
ABELARDO CESAR DOUTOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=41506,2025-07-30T11:32:09.952725,SUCCESS,SAO JOAO DA BOA VISTA,DESMEMBRAMENTO IRMAOS PORRECA,ESPIRITO SANTO DO PINHAL,(19) 36511100,E041506A@EDUCACAO.SP.GOV.BR,4.20,0.88,,,191,1,100,6,,,,,,9,4,,8,
ABIGAIL DE AZEVEDO GRILLO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=21246,2025-07-30T11:32:09.952725,SUCCESS,PIRACICABA,VILA REZENDE,PIRACICABA,(19) 34130606,E021246A@EDUCACAO.SP.GOV.BR,4.70,3.17,3.80,2.00,252,,193,14,,,,39,6,9,7,2,14,
ABILIO ALVES MARQUES,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=22767,2025-07-30T11:32:09.952725,SUCCESS,JABOTICABAL,JARDIM SAO JOAO,BEBEDOURO,(17) 33421079,E022767A@EDUCACAO.SP.GOV.BR,5.10,3.21,3.90,1.66,820,1,367,21,,,1,377,25,25,11,12,18,
ABILIO FONTES PROF,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=15106,2025-07-30T11:32:09.952725,SUCCESS,ITAPETININGA,VILA ROSA,ITAPETININGA,(15) 32712392,E015106A@EDUCACAO.SP.GOV.BR,5.90,3.63,,,488,10,278,5,,,,157,12,14,9,4,9,
ABILIO MANOEL,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=22603,2025-07-30T11:32:09.952725,SUCCESS,JABOTICABAL,CENTRO,BEBEDOURO,(17) 33421498,E022603A@EDUCACAO.SP.GOV.BR,5.90,3.96,4.60,2.42,419,3,205,7,,,6,192,6,12,6,6,12,
ABILIO RAPOSO FERRAZ JUNIOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=903188,2025-07-30T11:32:09.952725,SUCCESS,AVARE,JARDIM BRASIL,ITAI,(14) 37611155,E903188A@EDUCACAO.SP.GOV.BR,4.60,3.36,,2.48,790,15,405,11,,,16,246,12,24,12,9,13,
ABRAHAO DE MORAES PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=49098,2025-07-30T11:32:09.952725,SUCCESS,ITAPECERICA DA SERRA,PARQUE PARAISO,ITAPECERICA DA SERRA,(11) 46663975,E049098A@EDUCACAO.SP.GOV.BR,5.20,3.42,4.80,1.97,512,12,268,8,,,9,169,8,14,8,5,8,
ABRAHAO JACOB LAFER DOUTOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=12051,2025-07-30T11:32:09.952725,SUCCESS,SAO VICENTE,GUILHERMINA,PRAIA GRANDE,(13) 34911090,E012051A@EDUCACAO.SP.GOV.BR,,,4.70,2.91,368,,,,,,6,227,16,11,,7,11,
ABRANCHE JOSE PROF,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=907224,2025-07-30T11:32:09.952725,SUCCESS,ARACATUBA,JARDIM IPANEMA,ARACATUBA,(18) 36243824,E907224A@EDUCACAO.SP.GOV.BR,5.80,2.77,4.40,2.34,931,1,435,23,,,3,443,26,24,12,12,10,
ABRAO BENJAMIM PROF,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=904831,2025-07-30T11:32:09.952725,SUCCESS,GUARATINGUETA,VILA ROMANA,CRUZEIRO,(12) 31448533,E904831A@EDUCACAO.SP.GOV.BR,4.50,2.27,3.90,0.78,166,1,70,6,1,,5,78,5,7,4,3,11,
ACCACIO DE VASCONCELLOS CAMARGO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=16196,2025-07-30T11:32:09.952725,SUCCESS,SOROCABA,APARECIDINHA,SOROCABA,(15) 32252953,E016196A@EDUCACAO.SP.GOV.BR,5.40,3.17,,,391,3,369,19,,,,,,12,12,,13,
ACHILES MALVEZZI,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=28502,2025-07-30T11:32:09.952725,SUCCESS,SAO JOSE DO RIO PRETO,CENTRO,POTIRENDABA,(17) 32491814,E028502A@EDUCACAO.SP.GOV.BR,,,4.80,2.87,524,,,,,,16,486,22,16,,16,10,
ACHILES RODRIGUES PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=900576,2025-07-30T11:32:09.952725,SUCCESS,SAO JOAO DA BOA VISTA,HOMERO CORREA LEITE,VARGEM GRANDE DO SUL,(19) 36412900,E900576A@EDUCACAO.SP.GOV.BR,4.70,2.71,3.60,1.58,467,2,262,27,,,1,161,14,16,10,6,11,
ACYLINO AMARAL GURGEL PROF,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=15817,2025-07-30T11:32:09.952725,SUCCESS,ITU,BELA VISTA,SALTO,(11) 40292809,E015817A@EDUCACAO.SP.GOV.BR,5.50,3.12,4.60,2.00,836,2,400,17,,,7,390,20,23,12,11,12,
ADA CARIANI AVALONE PROFA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=919019,2025-07-30T11:32:09.952725,SUCCESS,BAURU,NUCLEO HABITACIONAL MARY DOTA,BAURU,(14) 32392511,E919019A@EDUCACAO.SP.GOV.BR,5.10,2.29,4.10,2.35,630,13,306,9,,,5,59,4,20,9,3,19,
ADA PELLEGRINI GRINOVER,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=925329,2025-07-30T11:32:09.952725,SUCCESS,SUL 3,JARDIM MORAIS PRADO,SAO PAULO,(11) 59336601,E925329A@EDUCACAO.SP.GOV.BR,,,,,721,,,,,,,,,24,,,12,
ADAHIR GUIMARAES FOGACA PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=28685,2025-07-30T11:32:09.952725,SUCCESS,SAO JOSE DO RIO PRETO,ELDORADO,SAO JOSE DO RIO PRETO,(17) 32362811,E028685A@EDUCACAO.SP.GOV.BR,,3.45,,2.25,1092,4,542,51,,,3,331,22,31,17,10,14,
ADAIL JARBAS DUCLOS,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=48823,2025-07-30T11:32:09.952725,SUCCESS,CAIEIRAS,VL SANTISTA,FRANCO DA ROCHA,(11) 44494565,E048823A@EDUCACAO.SP.GOV.BR,4.80,2.21,3.90,2.25,396,12,239,10,,,5,128,2,13,8,5,8,
ADAIL LUIZ MILLER DOUTOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=8936,2025-07-30T11:32:09.953746,SUCCESS,SAO BERNARDO DO CAMPO,DEMARCHI,SAO BERNARDO DO CAMPO,(11) 43962594,E008936A@EDUCACAO.SP.GOV.BR,6.30,3.92,5.10,3.41,783,1,438,26,,,6,266,12,23,12,10,12,
ADAIL MALMEGRIM GONCALVES PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=36432,2025-07-30T11:32:09.953746,SUCCESS,SAO CARLOS,AGUA VERMELHA,SAO CARLOS,(16) 33783132,E036432A@EDUCACAO.SP.GOV.BR,4.70,2.71,3.40,2.44,477,1,174,5,,,2,103,1,21,8,3,12,
ADALBERTO MECCA SAMPAIO PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=914800,2025-07-30T11:32:09.953746,SUCCESS,CARAPICUIBA,CHACARA QUIRIRI,CARAPICUIBA,(11) 41864726,E914800A@EDUCACAO.SP.GOV.BR,4.90,3.05,4.30,1.88,1369,12,440,27,1,,5,383,22,40,13,11,17,
ADALBERTO NASCIMENTO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=18284,2025-07-30T11:32:09.953746,SUCCESS,CAMPINAS LESTE,TAQUARAL,CAMPINAS,(19) 32512824,E018284A@EDUCACAO.SP.GOV.BR,5.40,2.89,4.90,2.76,433,1,261,15,,,3,149,4,15,9,6,15,
ADALBERTO PRADO e SILVA PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=18260,2025-07-30T11:32:09.953746,SUCCESS,CAMPINAS LESTE,VILA COSTA E SILVA,CAMPINAS,(19) 32080455,E018260A@EDUCACAO.SP.GOV.BR,5.40,3.14,5.40,2.65,382,1,223,11,,,3,103,5,15,8,6,16,
ADALGISA CAVEZZALE DE CAMPOS PROFA,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=34162,2025-07-30T11:32:09.953746,SUCCESS,ASSIS,PARANA,PALMITAL,(18) 33511508,E034162A@EDUCACAO.SP.GOV.BR,5.10,3.15,3.70,1.30,350,7,202,4,,,4,102,5,15,9,5,12,
ADALGISA DE SAO JOSE GUALTIERI,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=903395,2025-07-30T11:32:09.953746,SUCCESS,FRANCA,VILA MARTA,FRANCA,(16) 37025338,E903395A@EDUCACAO.SP.GOV.BR,,,,,498,,,,,,,,,18,,,12,
ADAMASTOR DE CARVALHO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=8576,2025-07-30T11:32:09.953746,SUCCESS,SANTO ANDRE,UTINGA,SANTO ANDRE,(11) 49761588,E008576A@EDUCACAO.SP.GOV.BR,5.60,3.45,5.20,2.46,434,6,326,9,,,5,69,2,16,11,4,19,
ADELAIDE ESCOBAR BUENO PROFESSORA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=7730,2025-07-30T11:32:09.953746,SUCCESS,MAUA,JARDIM SANTA LIDIA,MAUA,(11) 45146446,E007730A@EDUCACAO.SP.GOV.BR,,,,,542,,,,,,,,,17,,,21,
ADELAIDE FERRAZ DE OLIVEIRA PROFA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=2549,2025-07-30T11:32:09.953746,SUCCESS,LESTE 4,VILA GUILHERMINA,SAO PAULO,(11) 29577309,E002549A@EDUCACAO.SP.GOV.BR,5.30,3.20,4.30,2.26,397,,150,9,,,4,199,7,13,5,7,15,
ADELAIDE MARIA DE BARROS PROFESSORA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=924830,2025-07-30T11:32:09.953746,SUCCESS,MOGI DAS CRUZES,JARDIM ARMENIA,MOGI DAS CRUZES,(11) 47992383,E924830A@EDUCACAO.SP.GOV.BR,5.80,0.24,4.30,,108,1,70,4,,,1,32,,7,4,3,8,
ADELAIDE PATROCINIO DOS SANTOS,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=49189,2025-07-30T11:32:09.953746,SUCCESS,SAO VICENTE,BOQUEIRAO  FORTE,PRAIA GRANDE,(13) 34916690,E049189A@EDUCACAO.SP.GOV.BR,6.30,4.29,4.90,0.17,253,,138,6,,,,105,4,9,5,4,10,
ADELAIDE ROSA FERNANDES MACHADO DE SOUZA PROFESSORA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=925998,2025-07-30T11:32:09.953746,SUCCESS,SUL 3,PARQUE BRASIL,SAO PAULO,(11) 59316622,E925998A@EDUCACAO.SP.GOV.BR,5.10,3.06,4.60,3.41,441,1,289,18,,,1,103,5,16,9,6,16,
ADELIA FRASCINO DONA,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=22573,2025-07-30T11:32:09.953746,SUCCESS,SERTAOZINHO,VILA WALTER BECKER,PONTAL,(16) 39538100,E022573A@EDUCACAO.SP.GOV.BR,4.90,,,,49,2,28,,,,2,16,1,7,4,3,7,
ADELINA ISSA ASHCAR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=4303,2025-07-30T11:32:09.953746,SUCCESS,CENTRO SUL,CAMBUCI,SAO PAULO,(11) 32072067,E004303A@EDUCACAO.SP.GOV.BR,,,,,679,,,,,,,,,22,,,15,
ADELINA PASQUINO CASSIS PROFA,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=911252,2025-07-30T11:32:09.953746,SUCCESS,FRANCA,JARDIM EDEN,FRANCA,(16) 37274443,E911252A@EDUCACAO.SP.GOV.BR,5.70,3.83,,1.95,811,2,503,29,,,,251,26,24,16,8,8,
ADELINO BERTANI,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=27054,2025-07-30T11:32:09.953746,SUCCESS,JALES,CENTRO,MESOPOLIS,(17) 36380201,E027054A@EDUCACAO.SP.GOV.BR,5.00,3.60,4.20,,167,3,84,12,,,3,61,4,7,4,3,9,
ADELINO CHUBA GUIMARO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=911203,2025-07-30T11:32:09.954737,SUCCESS,SANTO ANASTACIO,JARDIM REAL,PRESIDENTE EPITACIO,(18) 32814680,E911203A@EDUCACAO.SP.GOV.BR,,,,,216,,,,,,,,,8,,,9,
ADELINO JOSE DA SILVA D AZEVEDO PROF,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=3232,2025-07-30T11:32:09.954737,SUCCESS,LESTE 4,JARDIM SANTA ADELIA,SAO PAULO,(11) 29191682,E003232A@EDUCACAO.SP.GOV.BR,4.90,2.98,3.90,1.33,283,,139,9,,,3,103,3,9,4,4,13,
ADELINO PETERS,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=30442,2025-07-30T11:32:09.954737,SUCCESS,PENAPOLIS,CENTRO,PENAPOLIS,(18) 36521401,E030442A@EDUCACAO.SP.GOV.BR,,2.06,4.10,1.30,527,,342,36,,,,100,3,21,14,5,25,
ADELIO FERRAZ DE CASTRO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=17802,2025-07-30T11:32:09.954737,SUCCESS,BRAGANCA PAULISTA,CENTRO,VARGEM,(11) 45982200,E017802A@EDUCACAO.SP.GOV.BR,,,4.40,0.90,309,,,,,,10,232,13,10,,8,9,
ADELMO FRANCISCO DA SILVA,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=496558,2025-07-30T11:32:09.954737,SUCCESS,FRANCA,RESIDENCIAL SAO DOMINGOS,FRANCA,(16) 37026019,E496558A@EDUCACAO.SP.GOV.BR,4.90,3.46,3.70,1.62,640,,309,31,,,,244,18,19,10,8,11,
ADEMAR HIROSHI SUDA PROF,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=1351,2025-07-30T11:32:09.954737,SUCCESS,NORTE 2,PARQUE VITORIA,SAO PAULO,(11) 22401555,E001351A@EDUCACAO.SP.GOV.BR,,,,,713,,,,,,,,,24,,,13,
ADEMAR VIEIRA PISCO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=20734,2025-07-30T11:32:09.954737,SUCCESS,PIRACICABA,CENTRO,SANTA MARIA DA SERRA,(19) 34871185,E020734A@EDUCACAO.SP.GOV.BR,5.60,3.25,5.50,,273,4,170,9,,,4,85,1,10,6,4,10,
ADENILSON DOS SANTOS FRANCO PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=923886,2025-07-30T11:32:09.954737,SUCCESS,TABOAO DA SERRA,PARQUE PINHEIROS,TABOAO DA SERRA,(11) 41374608,E923886A@EDUCACAO.SP.GOV.BR,5.10,2.96,4.60,2.57,645,8,320,11,,,7,275,24,19,11,8,11,
ADERVAL DA SILVA PROF,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=903536,2025-07-30T11:32:09.954737,SUCCESS,ARARAQUARA,JARDIM SANTA ROSA,MATAO,(16) 33821846,E903536A@EDUCACAO.SP.GOV.BR,,,,,387,,,,,,,,,17,,,11,
ADHEMAR ANTONIO PRADO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=3244,2025-07-30T11:32:09.954737,SUCCESS,LESTE 3,JARDIM VERA CRUZZONA LESTE,SAO PAULO,(11) 29192636,E003244A@EDUCACAO.SP.GOV.BR,5.30,2.89,4.30,1.84,555,1,386,22,,,,137,9,17,12,5,19,
ADHEMAR BOLINA PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=6592,2025-07-30T11:32:09.954737,SUCCESS,MOGI DAS CRUZES,JARDIM TAKEBE,BIRITIBA-MIRIM,(11) 46921044,E006592A@EDUCACAO.SP.GOV.BR,4.80,2.94,,1.83,959,10,514,45,,,20,237,13,30,17,9,21,
ADHERBAL DE CASTRO PROF,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=42286,2025-07-30T11:32:09.954737,SUCCESS,JACAREI,JARDIM CALIFORNIA,JACAREI,(12) 39582223,E042286A@EDUCACAO.SP.GOV.BR,5.10,3.38,4.00,1.88,880,1,433,49,,,1,296,24,27,16,8,13,
ADHERBAL DE PAULA FERREIRA,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=15088,2025-07-30T11:32:09.954737,SUCCESS,ITAPETININGA,CENTRO,ITAPETININGA,(15) 32710418,E015088A@EDUCACAO.SP.GOV.BR,6.10,4.02,5.20,2.62,544,7,323,7,,,10,167,6,16,9,6,12,
ADIB MIGUEL HADDAD,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=39962,2025-07-30T11:32:09.954737,SUCCESS,JUNDIAI,JARDIM SANTA GERTRUDES,JUNDIAI,(11) 45371647,E039962A@EDUCACAO.SP.GOV.BR,5.10,2.46,4.20,1.91,1130,2,618,27,1,,6,456,20,35,20,15,15,
ADIWALDE DE OLIVEIRA COELHO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=922420,2025-07-30T11:32:09.954737,SUCCESS,CAMPINAS LESTE,TAQUARAL,CAMPINAS,(19) 32531323,E922420A@EDUCACAO.SP.GOV.BR,,,,,200,,,,,,,,,7,,,8,
ADOLFINO DE ARRUDA CASTANHO PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=4200,2025-07-30T11:32:09.954737,SUCCESS,CENTRO OESTE,RIO PEQUENO,SAO PAULO,(11) 37687040,E004200A@EDUCACAO.SP.GOV.BR,,,,,,,,,,,,,,,,,14,
ADOLFO ALFEU FERRERO,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=24697,2025-07-30T11:32:09.955753,SUCCESS,SAO JOAQUIM DA BARRA,LAPA,SAO JOAQUIM DA BARRA,(16) 37285922,E024697A@EDUCACAO.SP.GOV.BR,,,,,361,,,,,,,,,13,,,11,
ADOLFO CASAIS MONTEIRO PROF,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=5381,2025-07-30T11:32:09.955753,SUCCESS,SUL 3,PARQUE COLONIAL,SAO PAULO,(11) 56611392,E005381A@EDUCACAO.SP.GOV.BR,4.10,3.04,3.50,2.16,868,,370,55,1,,,387,55,26,14,12,14,
ADOLFO GORDO SENADOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=4212,2025-07-30T11:32:09.955753,SUCCESS,CENTRO OESTE,VILA PROGREDIOR,SAO PAULO,(11) 37219552,E004212A@EDUCACAO.SP.GOV.BR,4.50,3.15,3.10,2.23,786,,20,5,,,3,557,55,23,1,18,19,
ADOLFO TRIPOLI CL HOSPITALAR DARCY VARGAS,CLASSE HOSPITALAR,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559167,2025-07-30T11:32:09.955753,SUCCESS,CENTRO OESTE,MORUMBI,SAO PAULO,(11) 37427438,E004259A@EDUCACAO.SP.GOV.BR,,,,,,,,,,,,,,,,,1,
ADOLFO TRIPOLI PROFESSOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=4259,2025-07-30T11:32:09.955753,SUCCESS,CENTRO OESTE,VILA MORSE,SAO PAULO,(11) 37427438,E004259A@EDUCACAO.SP.GOV.BR,,,,,518,,,,,,,,,21,,,15,
ADOLPHO CARVALHO PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=48324,2025-07-30T11:32:09.955753,SUCCESS,PIRACICABA,CECAP,PIRACICABA,(19) 34244777,E048324A@EDUCACAO.SP.GOV.BR,4.80,4.31,,,398,,378,20,,,,,,13,13,,15,
ADOLPHO PLUSKAT PROF,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=44301,2025-07-30T11:32:09.956134,SUCCESS,LESTE 2,JARDIM DOS IPES,SAO PAULO,(11) 25617665,E044301A@EDUCACAO.SP.GOV.BR,,,,,528,,,,,,,,,18,,,23,
ADOLPHO ROSSIN MAJOR,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=47776,2025-07-30T11:32:09.956134,SUCCESS,CAMPINAS OESTE,JARDIM ROSSIN,CAMPINAS,(19) 32611384,E047776A@EDUCACAO.SP.GOV.BR,,,,,573,,,,,,,,,20,,,10,
ADOLPHO THOMAS DE AQUINO,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=22135,2025-07-30T11:32:09.956134,SUCCESS,ARARAQUARA,CENTRO,MOTUCA,(16) 33481147,E022135A@EDUCACAO.SP.GOV.BR,,,3.90,2.71,117,,,,,,3,106,8,6,,6,10,
ADONIAS FILHO,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=904703,2025-07-30T11:32:09.956134,SUCCESS,DIADEMA,SERRARIA,DIADEMA,(11) 40542322,E904703A@EDUCACAO.SP.GOV.BR,4.80,3.25,4.40,2.27,916,9,463,16,,,8,366,21,28,16,11,14,
ADONIRAN BARBOSA,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=49451,2025-07-30T11:32:09.956134,SUCCESS,CAMPINAS OESTE,PARQUE CECAP,VALINHOS,(19) 38715236,E049451A@EDUCACAO.SP.GOV.BR,,,4.40,2.93,860,,,,,,10,622,63,25,,20,12,
ADONIRO LADEIRA PROFESSOR,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=19744,2025-07-30T11:32:09.956134,SUCCESS,JUNDIAI,JARDIM SHANGAI,JUNDIAI,(11) 45815224,E019744A@EDUCACAO.SP.GOV.BR,5.60,3.15,4.40,2.67,778,2,392,25,,,3,332,13,22,12,9,23,
ADREANA COMAR PROFA,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=919548,2025-07-30T11:32:09.956134,SUCCESS,TAQUARITINGA,CENTRO,DOBRADA,(16) 33861494,E919548A@EDUCACAO.SP.GOV.BR,,,,,209,,,,,,,,,8,,,6,
